Date,Open,High,Low,Close,Adj Close,Volume
2018-04-30,10705.750000,10784.650391,10601.599609,10618.250000,10618.250000,775200
2018-05-07,10653.150391,10812.049805,10635.650391,10806.500000,10806.500000,1048800
2018-05-14,10815.150391,10929.200195,10589.099609,10596.400391,10596.400391,1093900
2018-05-21,10616.700195,10628.049805,10417.799805,10605.150391,10605.150391,1091000
2018-05-28,10648.349609,10764.750000,10558.450195,10696.200195,10696.200195,1528000
2018-06-04,10765.950195,10818.000000,10550.900391,10767.650391,10767.650391,991700
2018-06-11,10781.849609,10893.250000,10755.400391,10817.700195,10817.700195,1112800
2018-06-18,10830.200195,10837.000000,10701.200195,10821.849609,10821.849609,1068000
2018-06-25,10822.900391,10831.049805,10557.700195,10714.299805,10714.299805,1290700
2018-07-02,10732.349609,10816.349609,10604.650391,10772.650391,10772.650391,891900
2018-07-09,10838.299805,11078.299805,10807.150391,11018.900391,11018.900391,851200
2018-07-16,11018.950195,11076.200195,10925.599609,11010.200195,11010.200195,1049300
2018-07-23,11019.849609,11283.400391,11010.950195,11278.349609,11278.349609,1320800
2018-07-30,11296.650391,11390.549805,11234.950195,11360.799805,11360.799805,1233300
2018-08-06,11401.500000,11495.200195,11359.700195,11429.500000,11429.500000,942800
2018-08-13,11369.599609,11486.450195,11340.299805,11470.750000,11470.750000,1004800
2018-08-20,11502.099609,11620.700195,11499.650391,11557.099609,11557.099609,924100
2018-08-27,11605.849609,11760.200195,11595.599609,11680.500000,11680.500000,1353300
2018-09-03,11751.799805,11751.799805,11393.849609,11589.099609,11589.099609,1279100
2018-09-10,11570.250000,11573.000000,11250.200195,11515.200195,11515.200195,831500
2018-09-17,11464.950195,11464.950195,10866.450195,11143.099609,11143.099609,1411900
2018-09-24,11164.400391,11170.150391,10850.299805,10930.450195,10930.450195,1629300
2018-10-01,10930.900391,11035.650391,10261.900391,10316.450195,10316.450195,1805300
2018-10-08,10310.150391,10492.450195,10138.599609,10472.500000,10472.500000,1713700
2018-10-15,10524.200195,10710.150391,10249.599609,10303.549805,10303.549805,1167000
2018-10-22,10405.849609,10408.549805,10004.549805,10030.000000,10030.000000,1315600
2018-10-29,10078.099609,10606.950195,10020.349609,10553.000000,10553.000000,1798900
2018-11-05,10558.750000,10619.549805,10477.000000,10585.200195,10585.200195,629700
2018-11-12,10607.799805,10695.150391,10440.549805,10682.200195,10682.200195,1241600
2018-11-19,10731.250000,10774.700195,10512.000000,10526.750000,10526.750000,1107700
2018-11-26,10568.299805,10922.450195,10489.750000,10876.750000,10876.750000,1569700
2018-12-03,10930.700195,10941.200195,10588.250000,10693.700195,10693.700195,1688400
2018-12-10,10508.700195,10838.599609,10333.849609,10805.450195,10805.450195,1883600
2018-12-17,10853.200195,10985.150391,10738.650391,10754.000000,10754.000000,1591500
2018-12-24,10780.900391,10893.599609,10534.549805,10859.900391,10859.900391,1188700
2018-12-31,10913.200195,10923.549805,10628.650391,10727.349609,10727.349609,1073400
2019-01-07,10804.849609,10870.400391,10733.250000,10794.950195,10794.950195,1395300
2019-01-14,10807.000000,10930.650391,10692.349609,10906.950195,10906.950195,1481500
2019-01-21,10919.349609,10987.450195,10756.450195,10780.549805,10780.549805,1713000
2019-01-28,10792.450195,10983.450195,10583.650391,10893.650391,10893.650391,2273800
2019-02-04,10876.750000,11118.099609,10814.150391,10943.599609,10943.599609,1501200
2019-02-11,10930.900391,10930.900391,10620.400391,10724.400391,10724.400391,2049200
2019-02-18,10738.650391,10808.849609,10585.650391,10791.650391,10791.650391,1602500
2019-02-25,10813.250000,10939.700195,10729.299805,10863.500000,10863.500000,2134700
2019-03-04,10864.849609,11089.049805,10817.000000,11035.400391,11035.400391,1393600
2019-03-11,11068.750000,11487.000000,11059.849609,11426.849609,11426.849609,1884700
2019-03-18,11473.849609,11572.799805,11412.500000,11456.900391,11456.900391,1398900
2019-03-25,11395.650391,11630.349609,11311.599609,11623.900391,11623.900391,1871500
2019-04-01,11665.200195,11761.000000,11559.200195,11665.950195,11665.950195,1747200
2019-04-08,11704.349609,11710.299805,11549.099609,11643.450195,11643.450195,1447100
2019-04-15,11667.000000,11856.150391,11648.250000,11752.799805,11752.799805,984000
2019-04-22,11727.049805,11796.750000,11564.799805,11754.650391,11754.650391,1806000
2019-04-29,11748.750000,11789.299805,11655.900391,11712.250000,11712.250000,1218400
2019-05-06,11605.799805,11657.049805,11251.049805,11278.900391,11278.900391,1769600
2019-05-13,11258.700195,11426.150391,11108.299805,11407.150391,11407.150391,1932700
2019-05-20,11651.900391,12041.150391,11591.700195,11844.099609,11844.099609,2132600
2019-05-27,11855.500000,12039.250000,11812.400391,11922.799805,11922.799805,2124900
2019-06-03,11953.750000,12103.049805,11769.500000,11870.650391,11870.650391,1322200
2019-06-10,11934.900391,12000.349609,11797.700195,11823.299805,11823.299805,1757400
2019-06-17,11844.000000,11844.049805,11625.099609,11724.099609,11724.099609,2018300
2019-06-24,11725.799805,11911.150391,11651.000000,11788.849609,11788.849609,1690100
2019-07-01,11839.900391,11981.750000,11797.900391,11811.150391,11811.150391,1846400
2019-07-08,11770.400391,11771.900391,11461.000000,11552.500000,11552.500000,1920800
2019-07-15,11614.750000,11706.650391,11399.299805,11419.250000,11419.250000,2258100
2019-07-22,11392.849609,11398.150391,11210.049805,11284.299805,11284.299805,2464500
2019-07-29,11307.500000,11310.950195,10848.950195,10997.349609,10997.349609,2546000
2019-08-05,10895.799805,11181.450195,10782.599609,11109.650391,11109.650391,2593600
2019-08-12,11139.400391,11145.900391,10901.599609,11047.799805,11047.799805,1607000
2019-08-19,11094.799805,11146.900391,10637.150391,10829.349609,10829.349609,2707400
2019-08-26,11000.299805,11141.750000,10756.549805,11023.250000,11023.250000,3197800
2019-09-02,10960.950195,10967.500000,10746.349609,10946.200195,10946.200195,2084700
2019-09-09,10936.700195,11084.450195,10889.799805,11075.900391,11075.900391,2275300
2019-09-16,10994.849609,11381.900391,10670.250000,11274.200195,11274.200195,3435100
2019-09-23,11542.700195,11694.849609,11416.099609,11512.400391,11512.400391,3658100
